Municipio;año;Cultivo;Subregion;Latitud;Longitud;Altitud (msnm);Temp, Promedio (°C);Precipitación (mm/año);Produccion_toneladas;Clasificacion;Relieve Predominante
La Unión;2021;Limón;Norte;4,53;-76,1;975;24;1100;0,02;Ladera;Montañoso
El Cairo;2018;Guayaba;Norte;4,76;-76,22;1850;17;2800;0,18;Ladera;Montañoso
El Cairo;2021;Mora;Norte;4,76;-76,22;1850;17;2800;0,5;Ladera;Montañoso
Calima Darién;2022;Uchuva;Centro;3,89;-76,49;1485;18;2300;0,6;Ladera;Montañoso
Roldanillo;2022;Fresa;Norte;4,41;-76,15;966;24;1150;0,6;Ladera;Montañoso
Calima Darién;2021;Uchuva;Centro;3,89;-76,49;1485;18;2300;0,62;Ladera;Montañoso
El Cairo;2022;Mora;Norte;4,76;-76,22;1850;17;2800;0,8;Ladera;Montañoso
Ansermanuevo;2011;Cítricos;Norte;4,79;-76;1030;23;1600;1;Ladera;Montañoso
Buenaventura;2021;Piña;Pacifico;3,88;-77,03;7;27;7000;1;Costa;Costero
Buga;2013;Brevo;Centro;3,9;-76,3;969;24;1050;1;Valle;Plano
Buga;2014;Brevo;Centro;3,9;-76,3;969;24;1050;1;Valle;Plano
Buga;2015;Brevo;Centro;3,9;-76,3;969;24;1050;1;Valle;Plano
La Cumbre;2004;Mora;Sur;3,64;-76,56;1550;19;2100;1;Ladera;Montañoso
La Cumbre;2005;Mora;Sur;3,64;-76,56;1550;19;2100;1;Ladera;Montañoso
Versalles;2013;Fresa;Norte;4,58;-76,2;1864;17;2400;1;Ladera;Montañoso
Yotoco;2012;Curuba;Centro;3,86;-76,39;972;24;1250;1;Ladera;Montañoso
Roldanillo;2022;Mango;Norte;4,41;-76,15;966;24;1150;1,4;Ladera;Montañoso
Argelia;2014;Fresa;Norte;4,48;-76,11;1560;20;2200;1,5;Ladera;Montañoso
El Aguila;2018;Fresa;Norte;4,91;-76,04;1800;17;2600;1,6;Ladera;Montañoso
El Aguila;2019;Fresa;Norte;4,91;-76,04;1800;17;2600;1,6;Ladera;Montañoso
Alcalá;2000;Morera;Norte;4,67;-75,89;1290;21;2100;2;Ladera;Montañoso
Ansermanuevo;2016;Guayaba;Norte;4,79;-76;1030;23;1600;2;Ladera;Montañoso
Argelia;2013;Fresa;Norte;4,48;-76,11;1560;20;2200;2;Ladera;Montañoso
Buga;2000;Fresa;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2001;Fresa;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2002;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2002;Fresa;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2005;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2006;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2007;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2008;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2008;Vid;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2009;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2010;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2011;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2011;Vid;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2012;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2012;Vid;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2016;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
Buga;2017;Brevo;Centro;3,9;-76,3;969;24;1050;2;Valle;Plano
El Cairo;2020;Mora;Norte;4,76;-76,22;1850;17;2800;2;Ladera;Montañoso
El Dovio;2005;Fresa;Norte;4,51;-76,24;1434;20;2400;2;Ladera;Montañoso
Jamundí;2020;Arazá;Sur;3,26;-76,54;975;24;1550;2;Valle;Plano
Jamundí;2021;Arazá;Sur;3,26;-76,54;975;24;1550;2;Valle;Plano
Jamundí;2022;Arazá;Sur;3,26;-76,54;975;24;1550;2;Valle;Plano
Versalles;2001;Curuba;Norte;4,58;-76,2;1864;17;2400;2;Ladera;Montañoso
Versalles;2012;Aguacate;Norte;4,58;-76,2;1864;17;2400;2;Ladera;Montañoso
Versalles;2018;Fresa;Norte;4,58;-76,2;1864;17;2400;2;Ladera;Montañoso
Versalles;2019;Fresa;Norte;4,58;-76,2;1864;17;2400;2;Ladera;Montañoso
Yumbo;2012;Pitaya;Sur;3,58;-76,49;995;25;1050;2;Valle;Plano
Yumbo;2016;Tomate de Árbol;Sur;3,58;-76,49;995;25;1050;2;Valle;Plano
Jamundí;2018;Arazá;Sur;3,26;-76,54;975;24;1550;2,1;Valle;Plano
Jamundí;2019;Arazá;Sur;3,26;-76,54;975;24;1550;2,1;Valle;Plano
